2017-03-29 8:45:38 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:45:38 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:45:38 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:45:38 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:45:38 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:45:38 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:45:38 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:45:38 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:45:38 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:45:38 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:45:38 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:45:38 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:45:38 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:45:38 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:45:38 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:45:38 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:45:38 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:45:38 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:45:38 - PHP Notice:  Use of undefined constant training_id - assumed 'training_id' in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 120
2017-03-29 8:45:38 - PHP Notice:  Undefined variable: pack_id in C:\xampp\htdocs\vc_fitness_new\admin\login\view\template\package\package_form.tpl on line 270
